,a330-200s,ph-aob,ph-aoc,ph-aod,a330-300s,ph-akb,ph-akd,ph-ake,ph-akf,b7772s,ph-bqc,ph-bqf,ph-bqk,ph-bqg,ph-bqh,ph-bqn,ph-bqp,ph-bqa,ph-bqb,ph-bqd,ph-bqi,ph-bql,ph-bqm,ph-bqo,b787-900s,ph-bhd,ph-bhe,ph-bhf,ph-bhg,ph-bhh,ph-bhi,ph-bhl,ph-bhn,ph-bho,b737-700s,ph-bgi,ph-bgq,ph-bxu,ph-bxa,ph-bxb,ph-bxc,ph-bxd,ph-bxe,ph-bxf,ph-bxk,ph-bxm,ph-bxl,ph-bxv,ph-bxy,ph-bxz,ph-bga
destination,a3302-damamsterdam,a3302-potsdamerplatz,a3302-placedelaconcorde,a3302-piazzadelduomo,a3303-timessquare,a3303-piazzanavona,a3303-plazadelacatedral,a3303-pracadorossio,a3303-hofplein,b7772-epidaurus,b7772-chichen-itza,b7772-ferraracity,b7772-kilimanjaro,b7772-galapagos-islands,b7772-hadrianswall,b7772-nahanni-national-nark,b7772-pontdugard,b7772-albertplesman,b7772-borobudur,b7772-darjeeling-railway,b7772-iguazu-falls,b7772-litomysyl-castle,b7772-macchu-picchu,b7772-old-rauma,b7879-anjer,b7879-bougainvillea,b7879-dahlia,b7879-hibiscus,b7879-mimosa,b78789-jasmijn,b7879-lavandel,b7879-lavandel,b7879-morgenster,b7879-orchid,b7377-greatwhiteherron,b7377-finch,b7377-goldenoriole,b7378-albatros,b7378-zwaan,b7378-valk, b7378-korhoen,b7378-arend,b7378-havik,b7378-zwaluw,b7378-gierzwaluw,b7378-kluut,b7378-sperwer,b7378-roodworstje,b7378-fuut,b7378-uil,b7378-tureluur
abudhabi,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muscat,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahrain,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fortaleza,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edmonton,100,100,100,100,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sint-maarten,75,50,75,50,50,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
montreal,75,50,75,50,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entebbe,75,50,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kigali,75,50,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,75,75,75,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vancouver,75,50,75,50,75,75,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riyadh,50,75,50,50,50,75,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toronto,50,75,50,75,75,75,50,75,50,50,50,50,50,75,50,50,50,75,50,50,50,50,50,75,75,75,50,50,50,50,75,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minneapolis,50,75,50,50,100,100,100,100,100,75,75,50,50,50,50,50,50,50,50,50,50,75,50,75,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dammam,50,75,50,50,50,75,75,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
